Anomaly detected: {'timestamp': '2014-03-02 17:36:00', 'value': '195.0'}
Anomaly detected: {'timestamp': '2014-03-02 17:41:00', 'value': '68.4'}
Anomaly detected: {'timestamp': '2014-03-02 17:46:00', 'value': '42.0'}
Anomaly detected: {'timestamp': '2014-03-02 17:51:00', 'value': '112.8'}
Anomaly detected: {'timestamp': '2014-03-02 17:56:00', 'value': '42.0'}
Anomaly detected: {'timestamp': '2014-03-02 18:21:00', 'value': '50.4'}
Anomaly detected: {'timestamp': '2014-03-02 19:06:00', 'value': '60.0'}
Anomaly detected: {'timestamp': '2014-03-02 19:11:00', 'value': '50.4'}
Anomaly detected: {'timestamp': '2014-03-02 19:21:00', 'value': '68.4'}
Anomaly detected: {'timestamp': '2014-03-02 19:26:00', 'value': '60.0'}
Anomaly detected: {'timestamp': '2014-03-02 19:36:00', 'value': '112.8'}
Anomaly detected: {'timestamp': '2014-03-02 19:51:00', 'value': '94.8'}
Anomaly detected: {'timestamp': '2014-03-02 20:06:00', 'value': '68.4'}
Anomaly detected: {'timestamp': '2014-03-02 20:11:00', 'value': '86.4'}
Anomaly detected: {'timestamp': '2014-03-02 21:06:00', 'value': '68.4'}
Anomaly detected: {'timestamp': '2014-03-02 21:11:00', 'value': '42.0'}
Anomaly detected: {'timestamp': '2014-03-02 21:16:00', 'value': '86.4'}
Anomaly detected: {'timestamp': '2014-03-02 21:21:00', 'value': '50.4'}
